Index,PcEcPc,liEcPc,temperature,cond_mean,cond_min,cond_max,nearest_PcEcPc,nearest_liEcPc,nearest_liEcPc_min,nearest_liEcPc_max,nearest_conductivity,nearest_conductivity_min,nearest_conductivity_max,exact_prediction
86,0.110279441,0.271920445,0,0.00442368,0.00425774,0.004672795,0.117765719,0.271268057,0.261175906,0.281360208,0.004425948,0.004375293,0.004470504,0.004404354
87,0.110478765,0.262004695,0,0.004390732,0.004233657,0.004695766,0.117765719,0.261175906,0.251083755,0.271268057,0.004375293,0.004318168,0.004425948,0.004354542
88,0.323299518,0.280226177,0,0.004257793,0.004163085,0.00448938,0.328341112,0.281360208,0.271268057,0.291452359,0.004698669,0.004675932,0.004715757,0.004699439
89,0.327887589,0.300625252,0,0.004272072,0.00410827,0.00440605,0.328341112,0.30154451,0.291452359,0.31163666,0.004727609,0.004715757,0.004734629,0.004727068
90,0.330359239,0.273001711,0,0.004000875,0.003887948,0.004129364,0.337496564,0.271268057,0.261175906,0.281360208,0.004670017,0.004641638,0.004692312,0.004679026
91,0.336842455,0.272217056,0,0.004327637,0.004098303,0.004659086,0.337496564,0.271268057,0.261175906,0.281360208,0.004670017,0.004641638,0.004692312,0.004672825
92,0.33722314,0.301752066,0,0.004311023,0.004207269,0.004456327,0.337496564,0.30154451,0.291452359,0.31163666,0.004720361,0.004708954,0.004726937,0.004720773
93,0.344755564,0.29358397,0,0.00427554,0.004078387,0.004397721,0.346652016,0.291452359,0.281360208,0.30154451,0.00470122,0.004684987,0.004712216,0.004705658
94,0.346060962,0.284250375,0,0.004181594,0.004020085,0.004417473,0.346652016,0.281360208,0.271268057,0.291452359,0.004684987,0.004663096,0.00470122,0.004690703
95,0.346792576,0.287756431,0,0.004432043,0.004216867,0.004739838,0.355807467,0.291452359,0.281360208,0.30154451,0.004692616,0.004676756,0.004703238,0.004695781
96,0.098316619,0.87224212,10,0.004699232,0.003888824,0.005086253,0.099454816,0.876797108,0.866704957,0.886889259,0.004383512,0.004447345,0.004321048,0.004397226
97,0.098369507,0.301443329,10,0.005564,0.005388005,0.005791869,0.099454816,0.30154451,0.291452359,0.31163666,0.005546246,0.005493305,0.005593699,0.005554576
98,0.098514549,0.252490738,10,0.005192742,0.005057663,0.005358384,0.099454816,0.251083755,0.240991604,0.261175906,0.005215064,0.005125792,0.005295816,0.005232487
99,0.098538967,0.786373263,10,0.005386161,0.005221686,0.005590345,0.099454816,0.785967751,0.7758756,0.796059901,0.004985766,0.005052571,0.004918157,0.004977286
100,0.098742297,0.274568453,10,0.005482182,0.005339355,0.005725283,0.099454816,0.271268057,0.261175906,0.281360208,0.00536869,0.005295816,0.005434316,0.005395895
101,0.098742364,0.85447359,10,0.005412084,0.004794309,0.005907895,0.099454816,0.856612807,0.846520656,0.866704957,0.004512446,0.004578659,0.004447345,0.004518132
102,0.098753423,0.797269059,10,0.005483677,0.005271804,0.005698761,0.099454816,0.796059901,0.785967751,0.806152052,0.004918157,0.004985766,0.004850051,0.004905029
103,0.098821919,0.282487301,10,0.005510626,0.005236288,0.006154288,0.099454816,0.281360208,0.271268057,0.291452359,0.005434316,0.00536869,0.005493305,0.005445847
104,0.098973291,0.290565767,10,0.005370217,0.005263958,0.005433431,0.099454816,0.291452359,0.281360208,0.30154451,0.005493305,0.005434316,0.005546246,0.005492041
105,0.09923281,0.865168137,10,0.005579687,0.0042025,0.006268033,0.099454816,0.866704957,0.856612807,0.876797108,0.004447345,0.004512446,0.004383512,0.004454425
106,0.10005633,0.797563723,10,0.005826203,0.005480187,0.00636387,0.108610268,0.796059901,0.785967751,0.806152052,0.004975569,0.005036866,0.004913845,0.004912262
107,0.10013993,0.823472427,10,0.005728712,0.00521798,0.005872012,0.099454816,0.826336354,0.816244203,0.836428505,0.004713568,0.004781755,0.00464578,0.004739049
108,0.100944341,0.83212906,10,0.005561091,0.004958788,0.006089836,0.099454816,0.836428505,0.826336354,0.846520656,0.00464578,0.004713568,0.004578659,0.004688857
109,0.109512134,0.292150801,10,0.005331188,0.005093265,0.005456692,0.108610268,0.291452359,0.281360208,0.30154451,0.005437163,0.005382124,0.005486342,0.005436544
